ra,dec,type,const,mag,name,rarad,decrad,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
0.67275,41.6906,Gxy,And,8.2,,0.176126,0.727637,347,21.9,11,170,2,110,M,205,NGC,,,
0.711611,40.8644,Gxy,And,8.3,,0.186299,0.713219,372,8.7,6.5,170,2,32,M,221,NGC,,,
0.712306,41.2683,Gxy,And,3.6,,0.186481,0.720268,374,190.5,61.7,35,2,31,M,224,NGC,,,
1.55606,60.6581,OC,Cas,7.4,,0.407374,1.05868,974,6,,,2,103,M,581,NGC,,,
1.56411,30.6603,Gxy,Tri,5.8,Triangulum galaxy,0.409483,0.535123,991,70.8,41.7,23,2,33,M,598,NGC,,,
1.61156,15.7842,Gxy,Psc,9.5,,0.421904,0.275486,1019,10.5,9.5,25,2,74,M,628,NGC,,,
1.70503,51.5711,PN,Per,10.1,,0.446375,0.900086,1052,2.7,1.8,,2,76,M,650,NGC,,,
2.70206,42.7461,OC,Per,5.2,,0.707397,0.74606,1666,35,,,2,34,M,1039,NGC,,,
2.71131,-0.0130556,Gxy,Cet,9.1,,0.709818,-0.000227862,1677,7.1,6,70,2,77,M,1068,NGC,,,
5.40294,-24.5242,GC,Lep,7.7,,1.41449,-0.428027,3011,8.7,,,2,79,M,1904,NGC,,,
5.47847,35.855,OC,Aur,6.4,,1.43426,0.625788,3051,21,,,2,38,M,1912,NGC,,,
5.57553,22.0144,Neb,Tau,8.4,,1.45967,0.384225,3100,6,4,,2,1,M,1952,NGC,,,
5.58811,-5.39083,OC+Neb,Ori,4,,1.46296,-0.0940878,3116,90,60,,2,42,M,1976,NGC,,,
5.59203,-5.2675,Neb,Ori,9,,1.46399,-0.0919352,3122,20,15,,2,43,M,1982,NGC,,,
5.60492,34.1408,OC,Aur,6,,1.46736,0.59587,3127,12,,,2,36,M,1960,NGC,,,
5.77939,0.0791667,Neb,Ori,8,,1.51304,0.00138172,3217,8,6,,2,78,M,2068,NGC,,,
5.87175,32.5531,OC,Aur,5.6,,1.53722,0.568158,3244,23,,,2,37,M,2099,NGC,,,
6.14886,24.3578,OC,Gem,5.1,,1.60977,0.425123,3317,28,,,2,35,M,2168,NGC,,,
6.76667,-20.7542,OC,CMa,4.5,,1.77151,-0.362229,3427,38,,,2,41,M,2287,NGC,,,
7.04508,-8.39056,OC,Mon,5.9,,1.8444,-0.146443,3480,16,,,2,50,M,2323,NGC,,,
7.60972,-14.4825,OC,Pup,4.4,,1.99222,-0.252767,3623,29,,,2,47,M,2422,NGC,,,
7.69633,-14.81,OC,Pup,6.1,,2.0149,-0.258483,3639,27,,,2,46,M,2437,NGC,,,
7.74144,-23.8531,OC,Pup,6.2,,2.02671,-0.416314,3649,22,,,2,93,M,2447,NGC,,,
8.22864,-5.75056,OC,Hya,5.8,,2.15425,-0.100366,3809,54,,,2,48,M,2548,NGC,,,
8.67283,19.6719,OC,Cnc,3.1,Praesepe,2.27054,0.34334,4064,95,,,2,44,M,2632,NGC,,,
8.85558,11.8119,OC,Cnc,6.9,,2.31839,0.206157,4140,29,,,2,67,M,2682,NGC,,,
9.92581,69.0653,Gxy,UMa,7.3,,2.59857,1.20542,4680,26.9,14.1,157,2,81,M,3031,NGC,,,
9.93075,69.6786,Gxy,UMa,8.9,,2.59986,1.21612,4684,11,4.6,65,2,82,M,3034,NGC,,,
10.7327,11.7036,Gxy,Leo,10,,2.80981,0.204267,5122,7.4,5,13,2,95,M,3351,NGC,,,
10.7794,11.8236,Gxy,Leo,9.3,,2.82204,0.206361,5141,7.6,5.2,5,2,96,M,3368,NGC,,,
10.7971,12.5814,Gxy,Leo,9.4,,2.82668,0.219587,5152,5.4,4.8,,2,105,M,3379,NGC,,,
11.192,55.6733,Gxy,UMa,10.2,,2.93006,0.971683,5403,8.7,2.2,80,2,108,M,3556,NGC,,,
11.2466,55.0186,PN,UMa,9.9,Owl nebula,2.94435,0.960256,5450,3.4,3.3,,2,97,M,3587,NGC,,,
11.3155,13.0936,Gxy,Leo,9.3,,2.9624,0.228527,5546,9.8,2.9,174,2,65,M,3623,NGC,,,
11.3375,12.9911,Gxy,Leo,9,,2.96816,0.226738,5568,9.1,4.2,173,2,66,M,3627,NGC,,,
11.96,53.3744,Gxy,UMa,9.9,,3.13112,0.93156,6250,7.6,4.7,68,2,109,M,3992,NGC,,,
12.2301,14.9,Gxy,Com,10,,3.20182,0.260054,6540,9.8,2.8,155,2,98,M,4192,NGC,,,
12.3138,14.4169,Gxy,Com,9.7,Pin-wheel nebula,3.22374,0.251623,6687,5.4,4.7,,2,99,M,4254,NGC,,,
12.316,47.3042,Gxy,CVn,8.7,,3.22431,0.825613,6699,18.6,7.2,150,2,106,M,4258,NGC,,,
12.3652,4.47333,Gxy,Vir,9.6,,3.23721,0.0780744,6824,6.5,5.8,,2,61,M,4303,NGC,,,
12.3819,15.8225,Gxy,Com,9.7,,3.24158,0.276155,6870,7.4,6.3,30,2,100,M,4321,NGC,,,
12.418,12.8869,Gxy,Vir,9.4,,3.25102,0.22492,6989,6.5,5.6,135,2,84,M,4374,NGC,,,
12.4234,18.1908,Gxy,Com,9.2,,3.25244,0.31749,7009,7.1,5.5,,2,85,M,4382,NGC,,,
12.4366,12.9464,Gxy,Vir,9,,3.2559,0.225957,7055,8.9,5.8,130,2,86,M,4406,NGC,,,
